Cow,Ingredient,AF_Qty,AF_Head,DM_fract,DM_Qty,DM_Head,Pen_old,Pen,Cow_amount,Cow_n,Year,Month,month,Days in month, Moisture, Dry_Matter, pH, CP, ADF, aNDF, Lignin, Starch, ESC(Sugar), WSC(Sugar), EE(Fat), TFA(Fat), Ash,C%,OM
dairy,KFK8-B MIX,4398,4398,0.47,2067,2067.06,D9-19-6260,D9,38,1,2018,Jan,1,31,50.24465583,49.69861817,3.575656708,9.9824015,20.00616138,29.65905554,2.525891125,36.59397792,1.021249292,1.662002083,3.452445042,2.278704917,4.515951,39.19891,85
dairy,KFK8-A Mix,4129,4129,0.46,1887,1886.95,D9-20-6248,D9,38,1,2018,Jan,1,31,50.24465583,49.69861817,3.575656708,9.9824015,20.00616138,29.65905554,2.525891125,36.59397792,1.021249292,1.662002083,3.452445042,2.278704917,4.515951,39.19891,85
dairy,KFK8-A Mix,4171,4171,0.46,1906,1906.15,D9-21-6235,D9,38,1,2018,Jan,1,31,50.24465583,49.69861817,3.575656708,9.9824015,20.00616138,29.65905554,2.525891125,36.59397792,1.021249292,1.662002083,3.452445042,2.278704917,4.515951,39.19891,85
dairy,KFK8-A Mix,3297,3297,0.46,1507,1506.73,D9-22-6202,D9,38,1,2018,Jan,1,31,50.24465583,49.69861817,3.575656708,9.9824015,20.00616138,29.65905554,2.525891125,36.59397792,1.021249292,1.662002083,3.452445042,2.278704917,4.515951,39.19891,85
dairy,KFK8-A Mix,4093,4093,0.46,1871,1870.5,D9-23-6431,D9,38,1,2018,Jan,1,31,50.24465583,49.69861817,3.575656708,9.9824015,20.00616138,29.65905554,2.525891125,36.59397792,1.021249292,1.662002083,3.452445042,2.278704917,4.515951,39.19891,85
dairy,KFK8-A Mix,3542,3542,0.46,1619,1618.69,D9-24-5895,D9,38,1,2018,Jan,1,31,50.24465583,49.69861817,3.575656708,9.9824015,20.00616138,29.65905554,2.525891125,36.59397792,1.021249292,1.662002083,3.452445042,2.278704917,4.515951,39.19891,85
dairy,KFK8-A Mix,3914,3914,0.46,1789,1788.7,D9-25-5887,D9,38,1,2018,Jan,1,31,50.24465583,49.69861817,3.575656708,9.9824015,20.00616138,29.65905554,2.525891125,36.59397792,1.021249292,1.662002083,3.452445042,2.278704917,4.515951,39.19891,85
dairy,KFK8-A Mix,3436,3436,0.46,1570,1570.25,D9-26-5877,D9,38,1,2018,Jan,1,31,50.24465583,49.69861817,3.575656708,9.9824015,20.00616138,29.65905554,2.525891125,36.59397792,1.021249292,1.662002083,3.452445042,2.278704917,4.515951,39.19891,85
dairy,KFK8-A Mix,3731,3731,0.46,1705,1705.07,D9-27-5851,D9,38,1,2018,Jan,1,31,50.24465583,49.69861817,3.575656708,9.9824015,20.00616138,29.65905554,2.525891125,36.59397792,1.021249292,1.662002083,3.452445042,2.278704917,4.515951,39.19891,85
dairy,KFK8-A Mix,3974,3974,0.46,1816,1816.12,D9-28-6291,D9,38,1,2018,Jan,1,31,50.24465583,49.69861817,3.575656708,9.9824015,20.00616138,29.65905554,2.525891125,36.59397792,1.021249292,1.662002083,3.452445042,2.278704917,4.515951,39.19891,85
dairy,KFK8-A Mix,3388,3388,0.46,1548,1548.32,D9-29-5804,D9,38,1,2018,Jan,1,31,50.24465583,49.69861817,3.575656708,9.9824015,20.00616138,29.65905554,2.525891125,36.59397792,1.021249292,1.662002083,3.452445042,2.278704917,4.515951,39.19891,85
